날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율
2024-01-09,세진중공업,4,0,7,11,0.9999997500000625,0.0
2024-01-09,한국카본,1,0,1,2,0.9999990000010001,0.0
2024-01-09,한화엔진,15,4,1,20,0.7894736426592819,0.21052630470914185
2024-01-09,한화오션,20,6,9,35,0.7692307396449716,0.23076922189349144
2024-01-10,HD한국조선해양,29,19,2,50,0.6041666540798614,0.39583332508680574
2024-01-10,HD현대마린솔루션,8,2,0,10,0.7999999200000081,0.19999998000000202
2024-01-10,HD현대마린엔진,1,0,0,1,0.9999990000010001,0.0
2024-01-10,HD현대미포,14,6,0,20,0.6999999650000017,0.29999998500000075
2024-01-10,HD현대중공업,45,9,2,56,0.8333333179012349,0.16666666358024698
2024-01-10,STX엔진,2,2,0,4,0.49999987500003124,0.49999987500003124
2024-01-10,삼성중공업,12,1,2,15,0.9230768520710114,0.07692307100591762
2024-01-10,세진중공업,2,1,1,4,0.6666664444445185,0.33333322222225925
2024-01-10,한국카본,2,1,0,3,0.6666664444445185,0.33333322222225925
2024-01-10,한화엔진,5,6,1,12,0.4545454132231443,0.5454544958677732
2024-01-10,한화오션,24,6,6,36,0.7999999733333342,0.19999999333333354
2024-01-11,HD한국조선해양,19,6,2,27,0.7599999696000012,0.23999999040000036
2024-01-11,HD현대마린솔루션,4,0,0,4,0.9999997500000625,0.0
2024-01-11,HD현대마린엔진,1,0,0,1,0.9999990000010001,0.0
2024-01-11,HD현대미포,7,3,0,10,0.699999930000007,0.299999970000003
2024-01-11,HD현대중공업,24,4,3,31,0.8571428265306134,0.14285713775510223
2024-01-11,STX엔진,0,1,0,1,0.0,0.9999990000010001
2024-01-11,삼성중공업,8,8,2,18,0.4999999687500019,0.4999999687500019
2024-01-11,한화엔진,7,6,1,14,0.5384614970414233,0.4615384260355057
2024-01-11,한화오션,21,8,3,32,0.7241379060642101,0.27586205945303244
2024-01-12,HD한국조선해양,19,6,0,25,0.7599999696000012,0.23999999040000036
2024-01-12,HD현대마린솔루션,7,2,2,11,0.7777776913580343,0.22222219753086697
2024-01-12,HD현대미포,4,5,1,10,0.44444439506173394,0.5555554938271674
2024-01-12,HD현대중공업,12,6,1,19,0.6666666296296316,0.3333333148148158
2024-01-12,STX엔진,1,2,0,3,0.33333322222225925,0.6666664444445185
2024-01-12,삼성중공업,16,4,6,26,0.799999960000002,0.1999999900000005
2024-01-12,세진중공업,4,2,0,6,0.6666665555555741,0.33333327777778704
2024-01-12,한국카본,4,4,0,8,0.4999999375000079,0.4999999375000079
2024-01-12,한화엔진,8,4,4,16,0.6666666111111158,0.3333333055555579
2024-01-12,한화오션,61,10,6,77,0.8591549174766914,0.14084506843880185
2024-01-13,HD한국조선해양,4,1,0,5,0.799999840000032,0.199999960000008
2024-01-13,HD현대중공업,9,1,0,10,0.8999999100000091,0.09999999000000101
2024-01-13,삼성중공업,2,0,1,3,0.99999950000025,0.0
2024-01-13,세진중공업,0,1,0,1,0.0,0.9999990000010001
2024-01-13,한화엔진,1,0,1,2,0.9999990000010001,0.0
2024-01-13,한화오션,12,1,1,14,0.9230768520710114,0.07692307100591762
2024-01-14,HD한국조선해양,5,3,1,9,0.6249999218750099,0.3749999531250059
2024-01-14,HD현대마린솔루션,1,1,1,3,0.499999750000125,0.499999750000125
2024-01-14,HD현대미포,1,0,0,1,0.9999990000010001,0.0
2024-01-14,HD현대중공업,10,1,0,11,0.9090908264462886,0.09090908264462885
2024-01-14,STX엔진,3,3,0,6,0.49999991666668053,0.49999991666668053
2024-01-14,삼성중공업,2,2,4,8,0.49999987500003124,0.49999987500003124
2024-01-14,세진중공업,0,1,0,1,0.0,0.9999990000010001
2024-01-14,한국카본,2,2,0,4,0.49999987500003124,0.49999987500003124
2024-01-14,한화엔진,4,2,1,7,0.6666665555555741,0.33333327777778704
2024-01-14,한화오션,9,4,1,14,0.6923076390532585,0.3076922840236705
2024-01-15,HD한국조선해양,13,6,1,20,0.684210490304711,0.31578945706371275
2024-01-15,HD현대마린솔루션,1,3,0,4,0.24999993750001562,0.7499998125000469
2024-01-15,HD현대미포,3,1,0,4,0.7499998125000469,0.24999993750001562
2024-01-15,HD현대중공업,20,10,0,30,0.6666666444444451,0.33333332222222256
2024-01-15,STX엔진,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-15,삼성중공업,11,4,2,17,0.7333332844444478,0.2666666488888901
2024-01-15,세진중공업,2,1,1,4,0.6666664444445185,0.33333322222225925
2024-01-15,한국카본,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-15,한화엔진,5,1,0,6,0.8333331944444675,0.16666663888889352
2024-01-15,한화오션,26,7,2,35,0.7878787640036738,0.21212120569329682
2024-01-16,HD한국조선해양,9,7,7,23,0.5624999648437522,0.4374999726562517
2024-01-16,HD현대마린솔루션,3,4,0,7,0.4285713673469475,0.57142848979593
2024-01-16,HD현대마린엔진,0,1,0,1,0.0,0.9999990000010001
