날짜,기업명,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-10,HD현대중공업,0.1763542227233462,0.004938745859335512,0.0
2024-01-10,STX엔진,0.17348951193303236,0.0,0.0
2024-01-10,삼성중공업,0.04223556215213513,0.0,0.0
2024-01-10,세진중공업,0.17348951193303236,0.097428695031426,0.0
2024-01-10,한국카본,0.23131934924404315,0.0,0.0
2024-01-10,한화엔진,0.03365778829342673,0.0,0.0
2024-01-10,한화오션,0.01759815089672297,0.0,0.0
2024-01-11,HD한국조선해양,0.060673816976617716,0.0,0.0
2024-01-11,HD현대마린솔루션,0.10699573232070297,0.0,0.0
2024-01-11,HD현대마린엔진,0.4279829292828119,0.0,0.0
2024-01-11,HD현대미포,0.2965113751954326,0.0,0.0
2024-01-11,HD현대중공업,0.05153896257173425,0.00889719527725896,0.0
2024-01-11,STX엔진,0.0,0.0,0.0
2024-01-11,삼성중공업,0.05143351573267543,0.0,0.0
2024-01-11,한화엔진,0.012452692122601439,0.0,0.0
2024-01-11,한화오션,0.02384120454180969,0.0,0.0
2024-01-12,HD한국조선해양,0.052075748024356466,0.00997934444189682,0.0
2024-01-12,HD현대마린솔루션,0.0,0.0,0.0
2024-01-12,HD현대미포,0.028385307215959464,0.02494836110474205,0.0
2024-01-12,HD현대중공업,0.01493963537682077,0.013130716370916869,0.0
2024-01-12,STX엔진,0.0,0.0,0.0
2024-01-12,삼성중공업,0.018433053488059594,0.009910345413268325,0.020122122785740073
2024-01-12,세진중공업,0.0,0.0,0.0
2024-01-12,한국카본,0.0,0.0,0.0
2024-01-12,한화엔진,0.01779681253576533,0.0,0.023685329659018775
2024-01-12,한화오션,0.012897978970488432,0.003240046896719747,0.0
2024-01-13,HD한국조선해양,0.0,0.0,0.0
2024-01-13,HD현대중공업,0.0,0.0,0.0
2024-01-13,삼성중공업,0.0,0.0,0.0
2024-01-13,세진중공업,0.0,0.0,0.0
2024-01-13,한화엔진,0.0,0.0,0.0
2024-01-13,한화오션,0.0,0.0,0.0
2024-01-14,HD한국조선해양,0.04480232304893355,0.029758417087291728,0.0
2024-01-14,HD현대마린솔루션,0.0,0.0,0.0
2024-01-14,HD현대미포,0.21156288447813543,0.0,0.0
2024-01-14,HD현대중공업,0.0,0.02434779579869323,0.0
2024-01-14,STX엔진,0.0,0.0,0.0
