기업명,날짜,종가,거래량,MA5,MA10,RSI,MACD,BB_upper,1일후등락률,3일후등락률,5일후등락률
삼성중공업,2024-09-27,10180.0,9129264,10744.0,10504.0,53.0,44.02106589821415,11085.272255085081,-1.4734774066797642,-1.37524557956778,-3.143418467583497
삼성중공업,2024-09-30,10030.0,5152225,10566.0,10526.0,53.53535353535354,3.9359082081464294,11080.104510106921,0.19940179461615154,-0.19940179461615154,1.4955134596211366
삼성중공업,2024-10-02,10050.0,3705826,10382.0,10527.0,57.9136690647482,-25.91925417818311,11079.414650733956,-0.09950248756218905,-1.8905472636815919,-1.791044776119403
삼성중공업,2024-10-04,10040.0,2816110,10232.0,10497.0,54.263565891472865,-49.81239560133872,11055.49017193084,-0.29880478087649404,1.394422310756972,-1.593625498007968
삼성중공업,2024-10-07,10010.0,5788466,10062.0,10448.0,50.8130081300813,-70.35759306277032,11053.571242091357,-1.4985014985014986,-1.3986013986013985,2.197802197802198
삼성중공업,2024-10-08,9860.0,3544229,9998.0,10371.0,51.020408163265316,-97.61827377400368,11048.905215317627,3.2454361054766734,0.2028397565922921,2.028397565922921
삼성중공업,2024-10-10,10180.0,5735546,10028.0,10297.0,52.75590551181102,-92.33683246486726,11052.131338833678,-3.045186640471513,0.4911591355599214,0.68762278978389
삼성중공업,2024-10-11,9870.0,4212463,9992.0,10187.0,40.78431372549019,-111.87602423161115,11049.830363618148,0.10131712259371835,1.9250253292806485,1.82370820668693
삼성중공업,2024-10-14,9880.0,2323172,9960.0,10096.0,37.083333333333336,-125.11184656474143,11029.190396689593,3.54251012145749,3.7449392712550607,1.214574898785425
삼성중공업,2024-10-15,10230.0,4932381,10004.0,10033.0,42.36641221374046,-106.13578888768097,11025.020208338736,-1.6617790811339197,-1.7595307917888565,-2.346041055718475
삼성중공업,2024-10-16,10060.0,2404247,10044.0,10021.0,32.8,-103.62023613342899,11023.437787069004,1.8886679920477136,-0.5964214711729622,0.7952286282306162
삼성중공업,2024-10-17,10250.0,3246049,10058.0,10043.0,36.36363636363636,-85.31180891988879,11015.194694685888,-1.951219512195122,-2.5365853658536586,-1.951219512195122
