날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-05,한화오션,33,6,9,48,0.8461538244575944,0.1538461499013808,0.0095559775020966,0.0063828312652687,0.0055045727879973
2024-01-06,HD한국조선해양,4,1,0,5,0.799999840000032,0.199999960000008,0.184620071367003,0.0,0.0
2024-01-06,HD현대마린솔루션,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-06,HD현대미포,0,1,0,1,0.0,0.999999000001,0.0,0.0,0.0
2024-01-06,HD현대중공업,4,2,0,6,0.6666665555555741,0.333333277777787,0.1146675992898549,0.0,0.0
2024-01-06,삼성중공업,4,1,0,5,0.799999840000032,0.199999960000008,0.1372259944797399,0.0,0.0
2024-01-06,한화엔진,1,2,0,3,0.3333332222222592,0.6666664444445185,0.0,0.0,0.0
2024-01-06,한화오션,7,1,0,8,0.8749998906250137,0.1249999843750019,0.0527321054673903,0.0,0.0
2024-01-07,HD한국조선해양,15,2,4,21,0.8823528892733594,0.1176470519031145,0.0765819815563901,0.0421020748576826,0.0
2024-01-07,HD현대마린솔루션,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-07,HD현대미포,6,0,2,8,0.9999998333333612,0.0,0.0936512383940522,0.0,0.0
2024-01-07,HD현대중공업,18,0,3,21,0.9999999444444476,0.0,0.0651321984953949,0.0173425158479223,0.0
2024-01-07,삼성중공업,16,2,8,26,0.8888888395061756,0.1111111049382719,0.0345582179015099,0.0146494930516851,0.0
2024-01-07,한화엔진,10,0,0,10,0.99999990000001,0.0,0.0,0.0,0.0
2024-01-07,한화오션,18,3,5,26,0.8571428163265326,0.142857136054422,0.0572172941710324,0.0480129386468347,0.0
2024-01-08,HD한국조선해양,19,5,2,26,0.7916666336805569,0.2083333246527781,0.0598082180082776,0.0197754818906359,0.0
2024-01-08,HD현대마린솔루션,8,2,0,10,0.7999999200000081,0.199999980000002,0.0,0.0,0.0
