기업명,날짜,뉴스제목,URL
한국카본,2024.01.15,'청룡의 해' IPO 시동…4개사 출격,http://www.inews24.com/view/1676364
한국카본,2024.01.15,세계 최대 복합소재展 ‘JEC WORLD’ 3월 5일 파리 개최,http://amenews.kr/news/view.php?idx=56272
한국카본,2024.01.16,3000도 열 버티는 내열재 국산화 성공,https://view.asiae.co.kr/article/2024011507125867515
한국카본,2024.01.16,‘수주 호황’ 조선 기자재 실적 반등···올해 볕든다,https://www.ebn.co.kr/news/view/1608777/?sc=Naver
한국카본,2024.01.16,"SH에너지화학 주가 훨훨...미국, 심해 광물자원과 관련해 사전 준비 단계...",https://www.pinpointnews.co.kr/news/articleView.html?idxno=238653
한국카본,2024.01.16,"코스피, 외인·기관 매도에 2500선 밑으로… 코스닥 0.5%↓",https://www.lcnews.co.kr/news/articleView.html?idxno=67611
한국카본,2024.01.16,조태근 창원크라운호텔 회장,http://www.knnews.co.kr/news/articleView.php?idxno=1423403
한국카본,2024.01.16,"1위 대한항공 주가, 2위 두산에너빌리티 주가, 3위 한화에어로스페이스...",https://www.cwn.kr/news/articleView.html?idxno=23212
한국카본,2024.01.17,이 와중에 휴니드 주가 내달리나...The Boeing Company와 무슨 이슈 있나...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=239108
한국카본,2024.01.17,"1위 삼성중공업 주가, 2위 한화오션 주가, 3위 현대미포조선 주가... 1월...",https://www.cwn.kr/news/articleView.html?idxno=23312
한국카본,2024.01.18,K-LNG 수주 잭팟에…동성화인텍· ‘방긋’,http://www.sentv.co.kr/news/view/677459
한국카본,2024.01.18,아스트 주가 날개...채권단과 경영정상화 이행 약정 체결로 실적개선 '...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=239354
한국카본,2024.01.18,"케이비엘러먼트, 파리 JEC WORLD 2024 지원사업 선정",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202401180250&t=NN
한국카본,2024.01.19,K-LNG선 호황에 LNG보냉재 기업 ‘수주 풍년’,http://www.sentv.co.kr/news/view/677432
한국카본,2024.01.19,케이비엘러먼트 '파리 JEC World 2024' 참가,http://www.fnnews.com/news/202401191126254302
한국카본,2024.01.19,무보 사장 공모 개시…장영진 전 산업부 1차관 유력,https://www.newspim.com/news/view/20240119000670
한국카본,2024.01.19,키움證 “증시 과매도 구간 진입...낙폭과대 실적주 주목”,https://www.dailian.co.kr/news/view/1319244/?sc=Naver
한국카본,2024.01.19,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 3...,http://www.stardailynews.co.kr/news/articleView.html?idxno=432926
한국카본,2024.01.22,차량경량화 열쇠는 탄소섬유… 미래 개척하는 기업들,https://www.moneys.co.kr/article/2024011916034037209
한국카본,2024.01.22,"민주 김승남 호남 3선 도전…""농어촌 잘사는 나라 만들겠다""",http://www.newsis.com/view/?id=NISX20240122_0002600620&cID=10320&pID=12000
한국카본,2024.01.22,"김승남 의원, 전남 고흥·보성·장흥·강진선거구 총선 출마 선언",https://www.pressian.com/pages/articles/2024012214295992013?utm_source=naver&utm_medium=search
한국카본,2024.01.22,"'3선 도전' 김승남, ""대선에서 승리할 수 있는 강한 민주당을 만들 것""",https://daily.hankooki.com/news/articleView.html?idxno=1044022
한국카본,2024.01.22,"김승남 국회의원 3선 출마선언...""잘사는 농어촌 만들 것""",https://www.newspim.com/news/view/20240122000660
한국카본,2024.01.22,"김승남 ""농어촌 잘 사는 나라 만들겠다""···22대 총선 출마",http://www.enewstoday.co.kr/news/articleView.html?idxno=2081926
한국카본,2024.01.22,"김승남 3선 도전 ""농어촌 잘사는 나라 만들 것""",http://www.namdonews.com/news/articleView.html?idxno=755741
한국카본,2024.01.22,"케이비엘러먼트, 세계 최대 복합소재展 '파리 JEC WORLD 2024' 참가",http://news.mt.co.kr/mtview.php?no=2024012213320988678
한국카본,2024.01.22,철보다 가볍고 튼튼… 성장판 열리는 '꿈의 신소재' 탄소섬유,https://www.moneys.co.kr/article/2024011915584536167
한국카본,2024.01.23,"김승남 의원, “농축어민과 농어촌이 잘 사는 나라 , 정권교체 이끌 강...",http://www.breaknews.com/1011342
한국카본,2024.01.23,"1위 대한항공 주가, 2위 두산에너빌리티 주가, 3위 한화에어로스페이스...",https://www.cwn.kr/news/articleView.html?idxno=24003
한국카본,2024.01.23,'투자설명서' 읽어봐야 IPO 옥석 보인다,https://www.ajunews.com/view/20240122153954318
한국카본,2024.01.24,"1위 삼성중공업 주가, 2위 한화오션 주가, 3위 현대미포조선 주가... 1월...",https://www.cwn.kr/news/articleView.html?idxno=24210
한국카본,2024.01.25,""", 수주물량 안정적…목표가 유지""",https://view.asiae.co.kr/article/2024012508113395000
한국카본,2024.01.25,올해부터 정상화 시작…투자의견 '매수'-SK,http://news.mt.co.kr/mtview.php?no=2024012507494116133
한국카본,2024.01.25,"삼성중공업, LNG 브랜드평판 1위···SK·가스공사...",http://www.enetnews.co.kr/news/articleView.html?idxno=19770
한국카본,2024.01.26,안정적 수주물량에 성장 기대 주가 '미소',https://www.cwn.kr/news/articleView.html?idxno=24579
한국카본,2024.01.26,우림피티에스 주가 어깨춤 절로~...제조 로봇용 핵심 구동부품 국책과제...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=241236
한국카본,2024.01.26,무보 사장 공모 마감…장영진 전 산업부 차관 유력,https://www.newspim.com/news/view/20240126000999
한국카본,2024.01.26,1위 삼성중공업 주가·2위 한화오션 주가·3위 현대미포조선 주가 1월 4...,http://www.stardailynews.co.kr/news/articleView.html?idxno=433732
